,Illinois,North Dakota,Washington,District of Columbia,Oklahoma,Oregon,Delaware,North Carolina,Missouri,Arizona,New Hampshire,Vermont,New Jersey,New York,Connecticut,Wisconsin,Virginia,Arkansas,Virgin Islands,Wyoming,California,Tennessee,Alaska,Texas,Utah,Mississippi,West Virginia,Hawaii,Massachusetts,Kansas,Kentucky,Idaho,Louisiana,Maine,Indiana,Minnesota,Colorado,South Carolina,Florida,Northern Mariana Islands,Michigan,Georgia,Nevada,Rhode Island,Pennsylvania,Guam,Ohio,Puerto Rico,Maryland,Iowa,Montana,New Mexico,South Dakota,Alabama,Nebraska
2020-12-01,0.013748500942264874,0.02269887546855487,0.01518991033024708,0.017267104587019633,0.017173974738235565,0.022418668113297402,0.03912671091858422,0.020655076570930353,0.01474223972163724,0.01067620551744719,0.011924628082089939,0.002788693116998253,0.007672351934647104,0.015505938242280193,0.014663933202525126,0.0239170874302419,0.010852857608645072,0.003830744146295695,0.019804571171369245,0.011365943605361917,0.02834207077326334,0.010035743744844616,0.028497387205847158,0.020196144236864777,0.018773508866200883,0.013820537012010137,0.012781143146936458,0.013090265376791477,0.014901719255815404,0.017330219689566384,0.026553824108902058,0.013771326449106613,0.018917821380109556,0.014727599937819136,0.015690222132742848,0.01210366728640766,0.0,0.020393763358360184,0.008436253651014969,0.01391197606321759,0.029548279497144225,0.004546339452377923,0.02909922887890848,0.010088980460524866,0.01392893203411072,0.00979800263301378,0.01385093782069502,0.019953515972702895,0.040573862362699,0.0,0.008342956120092282,0.01234200158490184,0.02244264101793414,0.013313377521203096,0.01654736720085781
2020-11-30,0.014748865988884585,0.022136893853448525,0.019877403528526294,0.01720528269734034,0.01874352242506494,0.016806080899111286,0.01218922624567087,0.025149508756941552,0.014257354268182532,0.009889973197851898,0.013248076943537246,0.002148906585766719,0.00640885188431195,0.017393012855298373,0.0137767682725769,0.021837087431181068,0.011766825009844162,0.035625222657641675,0.018757922720437747,0.012696760871524715,0.023100207105305026,0.018452624005911078,0.022793028014960193,0.02272289761415669,0.016024094580217918,0.015593953570260721,0.015132757227688698,0.019190092271849313,0.013654226149508286,0.017141039315855533,0.033369683751363066,0.01604999504017468,0.020044132085192512,0.016607033168402063,0.01531569627613183,0.010405493706155733,0.0,0.02261115922472179,0.02365619854151957,0.0270764496683229,0.030791370571304766,0.005608755129959064,0.0233029215111491,0.013224963351160968,0.012597782790228829,0.011367497280597494,0.010758482547096548,0.014559647038859591,0.026066350710900466,0.015103838892385202,0.011766726788628334,0.01461762664816102,0.022479176874081297,0.013323674079909198,0.018786703916985115
2020-12-05,0.01283123705994349,0.02689396095395291,0.01727061235755678,0.013432094628957003,0.018970685185704994,0.020414294750158213,0.0,0.0181780301057346,0.017437722419928914,0.010037538527269518,0.010384706655662379,0.002270433905146252,0.006041473901921224,0.009407675117940828,0.012628029690447962,0.020802991696636797,0.007676033304213625,0.0006588421868896077,0.018281563277684265,0.0,0.022033634381812606,0.014476497766237717,0.02280456821889798,0.014467338886453351,0.018605913306118493,0.012023576611605025,0.01268592352736464,0.00899329262790638,0.015587582501022101,0.019145739429061948,0.018910932883072995,0.014850849935006627,0.018306570734264005,0.015589522751082052,0.011961006338422342,0.006772009029345272,0.0,0.022909951133899265,0.020921603830041935,0.02212644736680547,0.028104838410769384,0.010599464925406865,0.0,0.014255817143261629,0.010734851536766232,0.012552246774046427,0.008440520834354537,0.017136740291888497,0.02750367415494437,0.0,0.015332686555097341,0.0072281377559395565,0.026834317258299434,0.013190133659712666,0.005708369477012587
2020-12-03,0.008550426213334683,0.021173405758944552,0.008555148870664997,0.009103682799825208,0.02143848951527949,0.016798128031488835,0.0,0.020871700429711426,0.011542497376705096,0.008037117841525054,0.004115346083978011,0.0033979360684621707,0.005247781865397094,0.007188149119929932,0.009573339509956647,0.01747267000185282,0.00535776650163311,5.2439607052479076e-05,0.013045736760086024,0.015964268520129332,0.016835529824026807,0.013187795525653412,0.019153469805608392,0.0008173311788357562,0.01616088492500145,0.009011489189883592,0.00983154881259396,0.011670541942407464,0.008734534841088992,0.015470524168557098,0.026224210787969104,0.01657403895311438,0.011529535075241348,0.013853577247603832,0.016102479678979265,0.0057811174403101795,0.0,0.01624193465573609,0.015198480620882027,0.015052316711315017,0.018638556214894964,0.012776649803134088,0.0,0.012493729142582843,0.00805354965769478,0.006630402633643229,0.007031352819420578,0.012041683110634915,0.024724152022885137,0.0,0.015447520235057022,0.00774667398236617,0.026599716269693152,0.007190843947953773,0.010461589827773343
2020-12-07,0.008715081314821127,0.013651043504220084,0.005731917557017185,0.006540918770915782,0.019845620070848558,0.016040539510782548,0.06364953216145319,0.02001904189216286,0.007909751037344481,0.007287825145123161,0.01059601826514256,0.0018813495547471693,0.00419783649965022,0.017005418215697343,0.011239387417260494,0.014716785772819874,0.005296519255054477,0.03352463075712997,0.01109038345086244,0.004033879811885077,0.031989811207671526,0.010675743447814634,0.009659559888492542,0.022427744036946917,0.015074617933950929,0.007657747785437596,0.01277494843560878,0.011432780847145496,0.011402671075699589,0.014227473660507917,0.04218642767752612,0.009633583162995007,0.017198949004514796,0.0117912447298949,0.01209052706192093,0.004350078928024859,0.028301886792452935,0.019521118932938064,0.008790406769952686,0.015468187843211467,0.020248780165538882,0.010533194515207178,0.059240066305100036,0.010999616542940682,0.005919224104848242,0.02026096532130106,0.01089850070431475,0.010357137883169942,0.012961116650049842,0.022318660880347174,0.014965516970982584,0.032144686127058675,0.020564758077713297,0.005323454259783755,0.018393589778891384
2020-12-08,0.016295104489235213,0.0153413654618475,0.036297234444432336,0.013270015461340767,0.018771883556430335,0.01391607604904932,0.01777038367539241,0.018496229520277074,0.01157854110382095,0.007492186451762528,0.010923242357519625,0.0008763144717076621,0.002840452328634946,0.01759269965223731,0.01003398141613876,0.01384701370087793,0.0010244527105311985,0.0022041952995957015,0.015402597528049622,0.009621791414157421,0.01989110707803987,0.012092976241344866,0.01589511231080687,0.01566054062490685,0.008565148184643379,0.01042155553148727,0.011445050899358433,0.01185707418682913,0.009935314759227154,0.016890727335401534,0.031259683916950776,0.01466464925083355,0.01131454246136765,0.012543967866079031,0.011816026173348426,0.028075058789652996,0.0183486238532109,0.05310997177351906,0.010517929016571337,0.014906238709602171,0.023399088827732895,0.007606563126801635,0.01897657175848555,0.009810272232923634,0.0062196531791907095,0.014589693055496511,0.01020731965305699,0.010719635357796076,0.019685039370078705,0.018799272286234014,0.01491095916869467,0.01733971211899643,0.016604903078677236,0.010360497502339694,0.013248614303095874
2020-12-16,0.012730197169862567,0.01547873322258253,0.012060727699901408,0.01334863043166501,0.022296398565487596,0.014694079835491314,0.016563236847054075,0.022404977812077842,0.01123404976896003,0.00893307827991685,0.011631864947989845,0.001626016260162677,0.0039012398460880338,0.019805787905009087,0.010171334112688779,0.014591009207255645,0.010335571014916445,0.03163460456744294,0.01315213668708859,0.01709603161508788,0.028827674567584838,0.012220865357115196,0.022642125361078236,0.012006671126136625,0.012570213381877249,0.016352440956135528,0.008334272202819015,0.010451306413301609,0.009956184416164415,0.015076127549554785,0.036397100251662096,0.011779113254207774,0.015819625689129424,0.015023145286465756,0.01883714031444672,0.005379983194846449,0.018018018018018056,0.019791458340685963,0.010453766890514027,0.014078684458326718,0.019492551883722564,0.007027009387475358,0.018369690011481143,0.010508368712914828,0.01131689606838382,0.01948418976722155,0.01110471237689703,0.011701542476053595,0.020270270270270174,0.010714285714285676,0.01673961861987583,0.016351109924636065,0.02457062740974414,0.009310080824269207,0.010940627084723209
2020-12-14,0.016899427882093088,0.016515190859516915,0.015110308374171488,0.012465185789008792,0.02322170937144441,0.016628151949670933,0.017296581950650314,0.01516759842426807,0.010228892428942649,0.010462877323571096,0.015027067949264783,0.0016233766233766378,0.006175139739153623,0.014355871337110138,0.013693042912075182,0.016290355142702717,0.009023964756292635,0.001886545549715457,0.01931952093221967,0.00932742146040777,0.028158295281582868,0.014360611918141863,0.01992858521520935,0.01420892909380389,0.009618503592850658,0.013376535108277965,0.011562945858138995,0.010870339502215387,0.011750889433870926,0.015480489489115623,0.024681066975934973,0.013355801687213287,0.015768038955289887,0.01388056247606384,0.01409957781336435,0.0065467968287502565,0.0,0.02256821607653725,0.01103173642221944,0.01732572360375051,0.026645003701618597,0.005357702237056783,0.013880144658047655,0.009363358447069148,0.007997909637253997,0.014184963793115957,0.009451696602193138,0.015282302455683183,0.024219489120151483,0.020612485276796155,0.014655895301129096,0.016194127482030307,0.02109062296876596,0.010413994426998086,0.008921736835159066
2020-12-15,0.013522999276995185,0.016016962141725877,0.02077441949303549,0.015487492591722773,0.024897840653551606,0.016689612643232987,0.02645143692430363,0.018170833720605906,0.010747779898746757,0.010687053583255057,0.011667278345389276,0.0033661638199726784,0.00677212845881181,0.013366905502230741,0.011552035058463028,0.017672376794888978,0.010297697060475564,0.026448979591836785,0.017438004347986258,0.010951712209513742,0.023215126842069944,0.011579631521003941,0.020580025547617842,0.012398168127174314,0.010210277256675448,0.013454366742794432,0.005848499781920369,0.013769484454717151,0.008678374392308896,0.014007101093033159,0.041983517843879214,0.009395738196121162,0.015985217595941847,0.014096294200244497,0.016844079808398638,0.005846874171116179,0.0,0.019477296230140162,0.017298505675240605,0.017765310892940533,0.027352512549252417,0.016589128963286903,0.022686903403757563,0.014647104093741481,0.01065064749174427,0.016834486347642175,0.04150212974829848,0.009736839775875694,0.02364677627932754,0.033467974610501994,0.012525687805993835,0.016428156020260598,0.015780216098500777,0.009801067655382356,0.014703189179289922
2020-12-13,0.014080166219375023,0.013074196062655474,0.01885219138515626,0.014469453376205754,0.017462636854238767,0.013375838855172129,0.0,0.024145328403852195,0.011742004351931623,0.009559937381822703,0.01220561130452591,0.0013667992047714517,0.010300068316779543,0.006411859856254365,0.0103753827869284,0.017849870228768383,0.00550841442833927,0.0,0.01474436165107873,0.0,0.027226094962514713,0.0147732438197139,0.018859918127487107,0.009910593700455106,0.011939831872074036,0.015204071153912091,0.015418967357178959,0.010120810220906051,0.005009240017058492,0.014319323666186712,0.02661235573659204,0.01591333353735047,0.015381975721700414,0.01452949267207626,0.012550854018084978,0.004310937858289288,0.0,0.020752145390430687,0.017366243301809803,0.015366275127414397,0.02113507788266733,0.007620195102360006,0.0,0.014566155301640071,0.008196538495851557,0.014771548101438103,0.007780741109605582,0.016108106212688433,0.015340191301209227,0.0,0.015220195453982344,0.014255394065061378,0.024968253706482813,0.010022389984545965,0.0031455459584890377
2020-12-17,0.009527354434659019,0.01590847045392496,0.007370777210247148,0.007869656774417644,0.023029038571243943,0.00805598474408753,0.0,0.013013637579106785,0.009373858702268478,0.0080199469097062,0.008877147751424452,0.0019853579848616576,0.00400520156046813,0.004473791040819242,0.008400053122865625,0.013985434502613803,0.004862573477798726,0.00026509729070567367,0.010925475675313878,0.01673789038990736,0.019398207426376546,0.012072945919404665,0.016984863067635025,0.0005125245494952413,0.009122216392289939,0.00842947619234935,0.007273523873962517,0.008863320442064948,0.008271198313429817,0.0161223018853609,0.023541859542388632,0.010427649084756574,0.012183375859679879,0.013008495025972788,0.014709812351130003,0.003207909036942347,0.0,0.016741920388247733,0.01856550210854735,0.010922134016954077,0.02059061413744767,0.007426209905808889,0.0,0.013697859307550742,0.006979548043846151,0.024201496370122477,0.004567242102519575,0.008985380962035272,0.022573764664059803,0.0,0.011822766182725264,0.00957574530253269,0.017151775514472778,0.0063627838305890805,0.011643149047729118
2020-12-11,0.007658195520767519,0.010480285337372441,0.0289076609094423,0.007296636546725299,0.018985710423909508,0.006786822655421965,0.04927058278425478,0.021931368235811766,0.006593229878588014,0.007506730033936648,0.00683181175751546,0.0038390092879256876,0.009688115221220706,0.011843982745395554,0.008758107834790696,0.011597688401144168,0.0025483026275223697,0.023582105374748252,0.009108400557801266,0.0038345128493408875,0.026753752433586575,0.00953292903500369,0.012571495433239877,0.016271851848663088,0.007965540722441267,0.009183770138257996,0.01173860138859073,0.0007230263427144834,0.004188516650522667,0.012282535652953008,0.029687298100529835,0.01191996382770455,0.012512520868113608,0.01150569073205343,0.011601836690293243,0.002230390204490451,0.0,0.013994352501301766,0.008831647508288798,0.012668747935601354,0.019189120518807945,0.005768069466713932,0.04593464938292535,0.010190082710165527,0.0034710780113798023,0.022066513517970066,0.009330784765618994,0.008413708187974489,0.018077524769685382,0.008933556672250154,0.011493070458906907,0.014122310576211383,0.018618409605011266,0.00496635078770713,0.010543699186991828
2020-12-09,0.012212356702865135,0.006817687305079367,0.015844588889760924,0.011445709061943754,0.021109650989900475,0.013416996691182792,0.009545950438983875,0.01474481778849257,0.012021726974998037,0.008296198347107486,0.013906672964600686,0.001480384900073961,0.002668171789214524,0.013099226436472433,0.008627281840859924,0.009858231658057104,0.005258814645273224,0.0023095764568197286,0.011453285986670725,0.00976476303853624,0.025139152241727247,0.010450435259153013,0.01335345357899076,0.011536197015456384,0.00608274417386756,0.012175929760622983,0.00913988735000415,0.010960248650417226,0.010504117827064618,0.01213877400489971,0.021019607843137278,0.009736911881683907,0.010371066538058749,0.012326937320765063,0.012636935984478903,0.003724183347904475,0.0,0.015343444292168718,0.009275671798037344,0.011058268975821184,0.018968307671609175,0.004492753623188461,0.01574165327861099,0.009985241938016198,0.0037765177222672808,0.01763187439775815,0.013054797078970726,0.008118810202143445,0.01126856752603711,0.011621472053126691,0.011081925589779384,0.008208456169763956,0.02040562785352673,0.008604135501872445,0.00726587052168437
2020-12-12,0.013620399757240609,0.01467162924720844,0.009854350406559353,0.012188289516802397,0.036820443167303596,0.009926985566284685,0.014916828549742078,0.016694242925628933,0.010379257271399878,0.010090174210910074,0.01234452410531195,0.0023404779502340656,0.005322143186121453,0.012455143781278766,0.00812818328804843,0.014219006063819872,0.00980046698392667,0.022463899150112265,0.012625007025902857,0.012006199591590994,0.032875894988066756,0.009858402796899313,0.019962436275825057,0.009639603612129566,0.005850768954487329,0.01278232405891977,0.008469297784392982,0.00814455231930955,0.008841284784168568,0.012243049518762872,0.027285297280688292,0.013861535394206426,0.01468704357972217,0.011729082947804503,0.014140303105501184,0.003291817965860089,0.0,0.009336212387180964,0.013380662917215957,0.015942888659943977,0.01978606199114963,0.002751612836737749,0.012919175405717853,0.01087750660655984,0.009869246120459252,0.02365925803663349,0.014513410235112767,0.012313541110321458,0.01451966908661162,0.0,0.013634676683697,0.00572202629796581,0.017364704449990942,0.0059368031303908,0.0061401757188499495
2020-12-10,0.015361209265802866,0.00906380159030662,0.01665546101592752,0.01586912022725384,0.026406344422319705,0.01204052369912767,0.014710262959418463,0.01750505956727655,0.008905554253573866,0.011380327820608382,0.013971900954746541,0.0018434312400148478,0.006922881140239312,0.011046299092455136,0.010243106108720257,0.014287839110818545,0.005468126878949597,0.0014451524231569035,0.012608504442651158,0.013703750748516486,0.03408237536826286,0.009047455764551238,0.016885226495501726,0.009568306384884817,0.007138957386194633,0.01217929035837595,0.010705596107055904,0.010446204055427843,0.007706663882435905,0.013360005348115989,0.024855681512278238,0.010204252931174551,0.013573823749366776,0.012977653168572356,0.011266941194106206,0.004250665223469952,0.0,0.019515498507095108,0.012131517887362442,0.013439180537772044,0.01910133111449186,0.010945416799416297,0.014184676350562198,0.010206866857092267,0.006403611075115556,0.018833218768298687,0.011219788930407537,0.013306191969756798,0.023298385754701334,0.027352297592997843,0.013184369011771224,0.024699270818819397,0.024473066164041324,0.008953032654205106,0.007020590424212436
