Unnamed: 0,Illinois,North Dakota,Washington,District of Columbia,Oklahoma,Oregon,Delaware,North Carolina,Missouri,Arizona,New Hampshire,Vermont,New Jersey,New York,Connecticut,Wisconsin,Virginia,Arkansas,Virgin Islands,Wyoming,California,Tennessee,Alaska,Texas,Utah,Mississippi,West Virginia,Hawaii,Massachusetts,Kansas,Kentucky,Idaho,Louisiana,Maine,Indiana,Minnesota,Colorado,South Carolina,Florida,Northern Mariana Islands,Michigan,Georgia,Nevada,Rhode Island,Pennsylvania,Guam,Ohio,Puerto Rico,Maryland,Iowa,Montana,New Mexico,South Dakota,Alabama,Nebraska
2021-01-03,0.0106835956251803,0.0065206232922361395,0.01279689823284448,0.01035920981150804,0.01789084408230788,0.007083402392634319,0.010536921221539184,0.01188322265342063,0.00809706638383426,0.00878429828637149,0.012070078045524719,0.0012901924767931374,0.00496211025299784,0.007307256067648381,0.006315794082703599,0.00884163907490885,0.00472841281402279,0.008190391944891467,0.008416709957069852,0.009369931606876252,0.02302093734284218,0.008907002577953741,0.01374178846060983,0.00522834096903119,0.0039351838566909535,0.009938135483670878,0.00698162819740121,0.00535337537257297,0.005959674674718639,0.0088502231692545,0.01650946291708287,0.00914653300534865,0.008883057473893268,0.012949494035626521,0.01114256208438261,0.00260492463951685,0.00511396843950903,0.01076009206301856,0.00998926412382895,0.009280920710154659,0.012712828816603561,0.007048898254806679,0.00930619690222558,0.010985366524930758,0.004222139592946919,0.01063327540115394,0.00964395223426147,0.00905994648057866,0.012709679005851782,0.005597116582602445,0.01180431957925876,0.00852895572818388,0.01527479680045955,0.00515716619930625,0.00531836174053636
2020-12-28,0.010402374328079389,0.005516080016968459,0.01207380699975243,0.011315272264615041,0.01770706288862072,0.00705293036323731,0.009591152089579605,0.01183087842801155,0.00842684214204767,0.00792381401037326,0.012244986602954751,0.0013988094210364472,0.0059395717574086005,0.0061799855531505495,0.0056621212406913,0.00928563917906902,0.00459876675464748,0.010277801368052219,0.007504430098700261,0.008082252457948972,0.02064603456866536,0.0092743011760215,0.01258103653773264,0.00455876293493426,0.0035095134257622424,0.01001059302771804,0.00683583745206809,0.00462909319946823,0.005693724443448921,0.00911915476166308,0.014851176835987351,0.009242351276606501,0.00878571920025822,0.01349289218348538,0.01029082878595839,0.00253384642971522,0.00511396843950903,0.00954011093951733,0.00915945475981369,0.00938611952185132,0.01241503964505423,0.00670569033016632,0.00811463752991313,0.01014324751850062,0.003764601254389599,0.00979273535902988,0.00870795091881553,0.00814928397558426,0.01157714150967793,0.005166569859004585,0.01213158194141571,0.00805923248496523,0.01627905983130963,0.004945474797858169,0.00469867419601859
2021-01-04,0.00997436570461191,0.00643094636388457,0.01261275237601916,0.01077606309579688,0.01765846703712797,0.006838820271875,0.010934135982283275,0.01203865050756578,0.00809351863657264,0.00937475374151942,0.012037375550731949,0.0013988094210364472,0.00620736840085937,0.0058341178349445594,0.00610427210619591,0.009320808690040061,0.0042495102149756,0.007989577408492567,0.00869941019586101,0.007060118831333631,0.02117122129922407,0.00936376546115351,0.013527080970795653,0.00540594344740965,0.0037426279133204532,0.00954410867056222,0.00672904163603603,0.00424830893227979,0.00531819440399898,0.00881308809674566,0.01615074210182525,0.00929158146106327,0.00876031184574802,0.013736404439262639,0.011876855141791789,0.00236578892132869,0.00338983050847456,0.010358001740713049,0.009542545877326312,0.00934371262496046,0.01207464132957786,0.006942670499331149,0.007031951878269399,0.010336341587181259,0.003879238975326719,0.011220210245011129,0.00822073058423562,0.00898170247556256,0.014224736078527079,0.004633964409627004,0.011776722410953741,0.00760517239627774,0.01639077746650832,0.00454571490866729,0.004395465817809601
2020-12-30,0.00937962562858886,0.006441242950457579,0.01416814124267981,0.01011364724131463,0.01743104735086467,0.00659312334684711,0.009740263512232606,0.011583226043709479,0.00818634024845306,0.00909230442935086,0.01113738688198363,0.0007384932379880972,0.00615724645174795,0.005191554582468819,0.00579902365660447,0.00859486834598038,0.00396909850178694,0.007946828513621978,0.00948786667248654,0.008021745619462669,0.01895881030097597,0.00901195778496415,0.012666136907473629,0.005397353502671781,0.003923617126763482,0.009192884846067981,0.0065544093639926596,0.00411957598990911,0.00526743740156174,0.008686866639329941,0.017939947497207696,0.008987807195151189,0.00801449782789244,0.013433461965878659,0.01279927994239681,0.00227816288307153,0.00338983050847456,0.0099415452504482,0.011033521680109409,0.009787959800041709,0.011181126741772301,0.00684774911780593,0.007031951878269399,0.01220727482942376,0.004056579357742999,0.010934091888730058,0.00863944556897835,0.00847206059922294,0.01406534164071522,0.0037621695378321344,0.01167478380518892,0.00864684386955384,0.016612682748361453,0.00438886878614349,0.00507300603273791
2020-12-27,0.008890693074314279,0.006993013213384469,0.014373174913803799,0.0096680253403557,0.018285270575073807,0.006579229031598149,0.012115605401565666,0.01180706761427302,0.00865670713462427,0.00991666133429201,0.01098884554814839,0.0009191246891113572,0.0057541824597369,0.0060788504693438505,0.00575516148330501,0.00815764112414175,0.00432438790002018,0.009646267205406088,0.01063473006023408,0.00837152665591091,0.01891572318836861,0.008988192534197291,0.013935283741571361,0.0064297769060995295,0.004671115361440823,0.00916710061686369,0.00702100198305441,0.00457113642253313,0.00531769886813115,0.00865460765003255,0.01983015201819801,0.01820900168805614,0.007566428003427089,0.013093925018129133,0.01399483596971168,0.0021907831243282703,0.00338983050847456,0.01076512896228537,0.011921140401991059,0.0094598108224322,0.010778369829327162,0.006826795176362739,0.01244304239663801,0.01338954604610924,0.004166991962684709,0.00991066224755101,0.0097908248611691,0.00923403793039734,0.015091903940214771,0.0031521034473389943,0.01145246982608024,0.00954154685618791,0.01545438496510356,0.00437246212166817,0.005901975392069381
2020-12-26,0.010058994251698131,0.0065653761183200095,0.01488748085004114,0.011088150254312321,0.01664349140128421,0.00704257290527705,0.013313739354174636,0.01155000584110722,0.008534156250894369,0.00967149253206315,0.011815853520153359,0.001063365917787027,0.00571601456983429,0.0066118331608810395,0.00610231847700835,0.00801608876585059,0.0048104154875015705,0.00977148566585941,0.010072785835524959,0.00975801437554676,0.02121470655250908,0.00880193031615471,0.01286687872951733,0.00556977476785852,0.0045127350322053525,0.009543224445358099,0.0073320956471115,0.0049333981808630705,0.00587983977085979,0.008625205069509641,0.018582877656788004,0.01848268493345446,0.00792732026745862,0.01314796073528729,0.01173743132685937,0.00231739097104905,0.0,0.010121552086044941,0.01095803263884951,0.00985583724783609,0.01094437052491162,0.006313893333493049,0.01367702436151699,0.012833036844558379,0.004165307096912289,0.00986102709468767,0.0111365762337177,0.00905677843810062,0.014459463116298189,0.0031521034473389943,0.012160436438430991,0.00916090642703402,0.015142062695761188,0.00499985449491879,0.00548386667330736
2021-01-06,0.01063663811389937,0.006593831489626389,0.01585697593656689,0.01221472571958631,0.01634005534501031,0.00720548711379278,0.014575873304867135,0.01150737498234727,0.00780616091422809,0.01036443854121958,0.012331187433224769,0.0013034490044502574,0.00583534828644368,0.00713970221025009,0.006442427822263469,0.00879416602664854,0.00548580417602503,0.011986093503458221,0.011456099342198281,0.010776013778253471,0.02164553237292812,0.00919295662245333,0.01369524585018837,0.00639783593842527,0.004442949555237762,0.010115446938880031,0.0075306246969329,0.00535713836547993,0.006406923969659931,0.008889202539612121,0.018151997051126738,0.01904052491021335,0.008387345802475521,0.013783738785500071,0.01231210242692318,0.00255848426464091,0.00163934426229508,0.01030348518540471,0.01107864216366733,0.00919164740651178,0.01156956964471299,0.005834118738656839,0.01539355677425194,0.01188407123552043,0.004326460496989248,0.0106216649968557,0.01113738955775739,0.01005972575016658,0.0150479790351925,0.0031521034473389943,0.01239551996400903,0.009835115550633069,0.01610455644212443,0.0052668710311644705,0.0060631364824410994
2021-01-07,0.011293585096201219,0.006983227930823679,0.015495766410106322,0.0128161631362872,0.01600015229696297,0.007866758787704809,0.011336683483498033,0.01270093054161916,0.0081889496216076,0.01112541873661393,0.0130538355554712,0.0012657804737644673,0.00690278867714334,0.0070877232444504406,0.006822526349528781,0.00964119756061793,0.00582527666312386,0.00943807964434886,0.0123203849828016,0.0118616509450142,0.02161403232197736,0.009463406550821089,0.01437319242027241,0.00646149713615705,0.004643393135473773,0.0107174327463558,0.00790955096999132,0.005804584754165209,0.006338356454557731,0.00984059106124535,0.01690829717097713,0.01979015667045081,0.00910996886394565,0.014322759491690429,0.013249836538978248,0.00280208602967875,0.0024457958751983,0.01100955254991682,0.011056935054629829,0.00937503274920802,0.012165921848742458,0.00568330925640438,0.0122664392810409,0.01271589039816697,0.0044918588624041685,0.01165821840676282,0.01112487919835355,0.01098231328745913,0.01675652958493929,0.0031521034473389943,0.01304204314935751,0.01001349864926103,0.01660346378594457,0.0058019574182921006,0.00550226628559356
2021-01-08,0.011469783371328179,0.007411940760863258,0.01665934170951637,0.01275805498099685,0.016420427914394513,0.00799230745352525,0.012509385580520485,0.01231767184785373,0.00866895705692293,0.0115481913653164,0.0134143064844996,0.0012759213801351971,0.00781804245470857,0.00675635853611056,0.007127311822001681,0.00995269938919437,0.00576139086782902,0.01131871422785526,0.012651131334245011,0.01154762941896186,0.02180131394129447,0.01004668294843425,0.0151846976269268,0.00643478030635288,0.004958992020962222,0.01072326308584109,0.008215657232554829,0.006226563303618769,0.0063449513544607304,0.010278718201871201,0.01625242741404991,0.02024844608676859,0.00928745556994358,0.014849805016240952,0.014056998471534628,0.00280666409037613,0.0024457958751983,0.01116081618098294,0.012293498192227439,0.009962736183817902,0.01222979581263233,0.00560665104048671,0.01193889432195945,0.013653146770530922,0.004418516061405399,0.01196044788527069,0.01098464552145968,0.01123176095340696,0.01817535472363374,0.0031521034473389943,0.013184667268912839,0.01066008708339165,0.01693664259283247,0.005990153961362659,0.0060386831499718695
2021-01-09,0.011277355006729928,0.00721044696750488,0.017335522754521483,0.01246549317505277,0.016767329040486542,0.00816330788334566,0.011577348452909433,0.013123967132545381,0.00901260932936417,0.01154051533370799,0.013596060365926319,0.0011541187110468971,0.00832290730253992,0.0063596766984932804,0.00696342375655389,0.01008517172884862,0.005608093228197481,0.0086519731402272,0.01263091571007272,0.00933274198608339,0.02138030545976272,0.01033530417964435,0.015057063776670982,0.00619155883517516,0.005044815556825333,0.01065472443889035,0.00811542011093299,0.00571120941677907,0.00600311501071874,0.01012165753918896,0.016409632859613648,0.020539838925000043,0.00932658680779202,0.015110386708299372,0.01398238390696942,0.00252865091398051,0.0024457958751983,0.01106077848395942,0.012486463786272928,0.010351315214762239,0.012182609915575229,0.00600375460907344,0.010602319410392321,0.014413961591731481,0.004158896254899049,0.01139045124778877,0.01077793689854705,0.011128979152547801,0.01913185122221824,0.0015856557464799643,0.01348976776842746,0.01092735772837947,0.01710281347957368,0.006017877805603959,0.00571492449332321
