date	state	roc_rolling_mean
2020-04-13	Hawaii	0.08104023048157888
2020-04-13	Massachusetts	0.15192736547242813
2020-04-13	Kansas	0.11176842576373613
2020-04-13	Kentucky	0.1344616523377966
2020-04-13	Idaho	0.14954813901568212
2020-04-13	Louisiana	0.1429169853136922
2020-04-13	Maine	0.1025191014030499
2020-04-13	Indiana	0.12812306331481776
2020-04-13	Minnesota	0.0987372619389386
2020-04-13	Colorado	0.2333333333333333
2020-04-13	South Carolina	0.13074331846133921
2020-04-13	Florida	0.14736687511577806
2020-04-13	Northern Mariana Islands	0.09469873512363529
2020-04-13	Michigan	0.17934456752980296
2020-04-13	Georgia	0.19550035306011243
2020-04-13	Nevada	0.18036948219651813
2020-04-13	Rhode Island	0.13952400311017402
2020-04-13	Pennsylvania	0.16995275226679413
2020-04-13	Guam	0.11644071476240034
2020-04-13	Ohio	0.14242600427695312
2020-04-13	Puerto Rico	0.1117582526876972
2020-04-13	Maryland	0.10622450199859242
2020-04-13	Iowa	0.09508439804778476
2020-04-13	Montana	0.1634121437549136
2020-04-13	New Mexico	0.07344977158655966
2020-04-13	South Dakota	0.13899522866653774
2020-04-13	Alabama	0.09520497111410726
2020-04-13	Nebraska	0.10199696269856781
2020-04-16	Illinois	0.1172936692184738
2020-04-16	North Dakota	0.0702598999944791
2020-04-16	Washington	0.11487055309442287
2020-04-16	District of Columbia	0.09204299711673355
2020-04-16	Oklahoma	0.11710337521272333
2020-04-16	Oregon	0.09400695842047109
2020-04-16	Delaware	0.1625387216529523
2020-04-16	North Carolina	0.17167460062763829
2020-04-16	Missouri	0.15545601961718408
2020-04-16	Arizona	0.12312299083305829
2020-04-16	New Hampshire	0.14566851965811486
2020-04-16	Vermont	0.26188171403303356
2020-04-16	New Jersey	0.09552079488948041
2020-04-16	New York	0.15472358644057116
2020-04-16	Connecticut	0.1262032608214002
2020-04-16	Wisconsin	0.14744275437067908
2020-04-16	Virginia	0.1314706902307976
2020-04-16	Arkansas	0.12260854198775524
2020-04-16	Virgin Islands	0.12479108356318322
2020-04-16	Wyoming	0.17534663256761723
2020-04-16	California	0.07887693397837581
2020-04-16	Tennessee	0.16181305503562707
2020-04-16	Alaska	0.13029036818069833
2020-04-16	Texas	0.14025299695659352
2020-04-16	Utah	0.08660127683272564
2020-04-16	Mississippi	0.10241077961738401
2020-04-16	West Virginia	0.1411772762850664
2020-04-16	Hawaii	0.07559165606748722
2020-04-16	Massachusetts	0.1483849127997294
2020-04-16	Kansas	0.09743559419172694
2020-04-16	Kentucky	0.11938952582551696
2020-04-16	Idaho	0.13601532995963378
2020-04-16	Louisiana	0.13900190794773326
2020-04-16	Maine	0.09756282293065224
2020-04-16	Indiana	0.1144685634042792
2020-04-16	Minnesota	0.100343359665902
2020-04-16	Colorado	0.2708333333333333
2020-04-16	South Carolina	0.11997436702148098
2020-04-16	Florida	0.13717921384437293
2020-04-16	Northern Mariana Islands	0.08523482741830082
2020-04-16	Michigan	0.16966999124375187
